Book Title,Author Name,Book Ratings,Author Profile Links
"
The Women
",Kristin Hannah," 4.67 avg rating — 304,336 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/54493.Kristin_Hannah"" itemprop=""url""><span itemprop=""name"">Kristin Hannah</span></a>"
"
Bride
",Ali Hazelwood," 4.09 avg rating — 222,066 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/21098177.Ali_Hazelwood"" itemprop=""url""><span itemprop=""name"">Ali Hazelwood</span></a>"
"
House of Flame and Shadow (Crescent City, #3)
",Sarah J. Maas," 4.22 avg rating — 305,331 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/3433047.Sarah_J_Maas"" itemprop=""url""><span itemprop=""name"">Sarah J. Maas</span></a>"
"
Emily Wilde’s Map of the Otherlands (Emily Wilde, #2)
",Heather Fawcett," 4.36 avg rating — 27,592 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/8202155.Heather_Fawcett"" itemprop=""url""><span itemprop=""name"">Heather Fawcett</span></a>"
"
First Lie Wins
",Ashley Elston," 4.10 avg rating — 227,199 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/5317545.Ashley_Elston"" itemprop=""url""><span itemprop=""name"">Ashley Elston</span></a>"
"
What Feasts at Night (Sworn Soldier, #2)
",T. Kingfisher," 3.94 avg rating — 10,044 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/7367300.T_Kingfisher"" itemprop=""url""><span itemprop=""name"">T. Kingfisher</span></a>"
"
The Fury
",Alex Michaelides," 3.40 avg rating — 91,995 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/17621440.Alex_Michaelides"" itemprop=""url""><span itemprop=""name"">Alex Michaelides</span></a>"
"
A Fate Inked in Blood (Saga of the Unfated, #1)
",Danielle L. Jensen," 4.07 avg rating — 42,469 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/7091823.Danielle_L_Jensen"" itemprop=""url""><span itemprop=""name"">Danielle L. Jensen</span></a>"
"
The Fox Wife
",Yangsze Choo," 4.04 avg rating — 6,072 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/6547911.Yangsze_Choo"" itemprop=""url""><span itemprop=""name"">Yangsze Choo</span></a>"
"
The Prisoner’s Throne (The Stolen Heir Duology, #2)
",Holly Black," 3.98 avg rating — 23,605 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/25422.Holly_Black"" itemprop=""url""><span itemprop=""name"">Holly Black</span></a>"
"
Mislaid in Parts Half-Known (Wayward Children, #9)
",Seanan McGuire," 4.10 avg rating — 7,049 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/2860219.Seanan_McGuire"" itemprop=""url""><span itemprop=""name"">Seanan McGuire</span></a>"
"
Just for the Summer
",Abby Jimenez," 4.49 avg rating — 87,244 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/18446724.Abby_Jimenez"" itemprop=""url""><span itemprop=""name"">Abby Jimenez</span></a>"
"
The Familiar
",Leigh Bardugo," 4.03 avg rating — 14,681 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/4575289.Leigh_Bardugo"" itemprop=""url""><span itemprop=""name"">Leigh Bardugo</span></a>"
"
I Hope This Doesn't Find You
",Ann Liang," 4.22 avg rating — 16,083 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/16624571.Ann_Liang"" itemprop=""url""><span itemprop=""name"">Ann Liang</span></a>"
"
Fence, Vol. 6: Redemption
",C.S. Pacat," 4.42 avg rating — 1,403 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/4349837.C_S_Pacat"" itemprop=""url""><span itemprop=""name"">C.S. Pacat</span></a>"
"
Funny Story
",Emily Henry," 4.43 avg rating — 84,482 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/13905555.Emily_Henry"" itemprop=""url""><span itemprop=""name"">Emily Henry</span></a>"
"
Martyr!
",Kaveh Akbar," 4.24 avg rating — 8,779 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/15957484.Kaveh_Akbar"" itemprop=""url""><span itemprop=""name"">Kaveh Akbar</span></a>"
"
After Annie
",Anna Quindlen," 4.12 avg rating — 11,188 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/3500.Anna_Quindlen"" itemprop=""url""><span itemprop=""name"">Anna Quindlen</span></a>"
"
The Crimson Moth (The Crimson Moth, #1)
",Kristen Ciccarelli," 4.25 avg rating — 35,976 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/15428577.Kristen_Ciccarelli"" itemprop=""url""><span itemprop=""name"">Kristen Ciccarelli</span></a>"
"
The Heiress
",Rachel Hawkins," 3.91 avg rating — 58,964 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/2261547.Rachel_Hawkins"" itemprop=""url""><span itemprop=""name"">Rachel Hawkins</span></a>"
"
Finlay Donovan Rolls the Dice (Finlay Donovan, #4)
",Elle Cosimano,"really liked it 4.00 avg rating — 16,748 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/5444060.Elle_Cosimano"" itemprop=""url""><span itemprop=""name"">Elle Cosimano</span></a>"
"
The Phoenix Crown
",Kate Quinn," 3.85 avg rating — 11,740 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/2974095.Kate_Quinn"" itemprop=""url""><span itemprop=""name"">Kate Quinn</span></a>"
"
The Teacher
",Freida McFadden," 3.97 avg rating — 268,698 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/7244758.Freida_McFadden"" itemprop=""url""><span itemprop=""name"">Freida McFadden</span></a>"
"
To Woo and to Wed (The Regency Vows, #5)
",Martha Waters," 3.89 avg rating — 2,348 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/19284253.Martha_Waters"" itemprop=""url""><span itemprop=""name"">Martha Waters</span></a>"
"
One Perfect Couple
",Ruth Ware, 3.91 avg rating — 827 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/9013543.Ruth_Ware"" itemprop=""url""><span itemprop=""name"">Ruth Ware</span></a>"
"
Something is Killing the Children, Vol. 7
",James Tynion IV, 4.29 avg rating — 936 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/6852949.James_Tynion_IV"" itemprop=""url""><span itemprop=""name"">James Tynion IV</span></a>"
"
Random in Death (In Death, #58)
",J.D. Robb," 4.53 avg rating — 16,294 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/17065.J_D_Robb"" itemprop=""url""><span itemprop=""name"">J.D. Robb</span></a>"
"
The Exception to the Rule (The Improbable Meet-Cute, #1)
",Christina Lauren," 4.25 avg rating — 77,353 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/6556689.Christina_Lauren"" itemprop=""url""><span itemprop=""name"">Christina Lauren</span></a>"
"
Fangirl Down (Big Shots, #1)
",Tessa Bailey," 4.01 avg rating — 39,640 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/6953499.Tessa_Bailey"" itemprop=""url""><span itemprop=""name"">Tessa Bailey</span></a>"
"
Only If You're Lucky
",Stacy Willingham," 3.57 avg rating — 28,806 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/21408101.Stacy_Willingham"" itemprop=""url""><span itemprop=""name"">Stacy Willingham</span></a>"
"
Murder Road
",Simone St. James," 3.77 avg rating — 17,487 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/4981568.Simone_St_James"" itemprop=""url""><span itemprop=""name"">Simone St. James</span></a>"
"
To Cage a God (These Monstrous Gods, #1)
",Elizabeth        May," 3.38 avg rating — 1,073 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/5303332.Elizabeth_May"" itemprop=""url""><span itemprop=""name"">Elizabeth        May</span></a>"
"
The City of Stardust
",Georgia  Summers," 3.40 avg rating — 4,401 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/23123665.Georgia_Summers"" itemprop=""url""><span itemprop=""name"">Georgia  Summers</span></a>"
"
The Bright Spot (Sunrise Cove, #5)
",Jill Shalvis," 4.06 avg rating — 3,216 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/22370.Jill_Shalvis"" itemprop=""url""><span itemprop=""name"">Jill Shalvis</span></a>"
"
The Storm We Made
",Vanessa  Chan," 3.92 avg rating — 10,017 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/30513185.Vanessa_Chan"" itemprop=""url""><span itemprop=""name"">Vanessa  Chan</span></a>"
"
Nearly All the Men in Lagos Are Mad
",Damilare Kuku," 4.03 avg rating — 4,708 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/21520501.Damilare_Kuku"" itemprop=""url""><span itemprop=""name"">Damilare Kuku</span></a>"
"
Shades of Mercy (Porter Beck, #2)
",Bruce Borgos, 4.33 avg rating — 88 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/15419075.Bruce_Borgos"" itemprop=""url""><span itemprop=""name"">Bruce Borgos</span></a>"
"
Argylle
",Elly Conway," 3.28 avg rating — 8,523 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/29367407.Elly_Conway"" itemprop=""url""><span itemprop=""name"">Elly Conway</span></a>"
"
The Murder After the Night Before
",Katy Brent," 3.90 avg rating — 5,738 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/22639116.Katy_Brent"" itemprop=""url""><span itemprop=""name"">Katy Brent</span></a>"
"
Table for Two
",Amor Towles," 4.36 avg rating — 5,479 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/4536964.Amor_Towles"" itemprop=""url""><span itemprop=""name"">Amor Towles</span></a>"
"
Only Say Good Things: Surviving Playboy and Finding Myself
",Crystal Hefner," 3.80 avg rating — 8,491 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/34722464.Crystal_Hefner"" itemprop=""url""><span itemprop=""name"">Crystal Hefner</span></a>"
"
This Could Be Us (Skyland, #2)
",Kennedy Ryan," 4.46 avg rating — 12,953 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/7429243.Kennedy_Ryan"" itemprop=""url""><span itemprop=""name"">Kennedy Ryan</span></a>"
"
Annie Bot
",Sierra Greer," 3.83 avg rating — 12,118 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/36552909.Sierra_Greer"" itemprop=""url""><span itemprop=""name"">Sierra Greer</span></a>"
"
The Night Island (The Lost Night Files, #2)
",Jayne Ann Krentz," 4.11 avg rating — 3,407 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/2387.Jayne_Ann_Krentz"" itemprop=""url""><span itemprop=""name"">Jayne Ann Krentz</span></a>"
"
Three-Inch Teeth (Joe Pickett #24)
",C.J. Box," 4.41 avg rating — 11,943 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/314195.C_J_Box"" itemprop=""url""><span itemprop=""name"">C.J. Box</span></a>"
"
Happily Never After
",Lynn Painter," 3.79 avg rating — 18,903 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/19322026.Lynn_Painter"" itemprop=""url""><span itemprop=""name"">Lynn Painter</span></a>"
"
Still See You Everywhere (Frankie Elkin, #3)
",Lisa Gardner," 4.06 avg rating — 8,330 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/18282.Lisa_Gardner"" itemprop=""url""><span itemprop=""name"">Lisa Gardner</span></a>"
"
The Great Divide
",Cristina Henríquez," 3.73 avg rating — 5,628 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/84994.Cristina_Henr_quez"" itemprop=""url""><span itemprop=""name"">Cristina Henríquez</span></a>"
"
The Instruments of Darkness (Charlie Parker #21)
",John Connolly, 4.41 avg rating — 123 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/38951.John_Connolly"" itemprop=""url""><span itemprop=""name"">John Connolly</span></a>"
"
Lunar New Year Love Story
",Gene Luen Yang," 4.44 avg rating — 2,888 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/68959.Gene_Luen_Yang"" itemprop=""url""><span itemprop=""name"">Gene Luen Yang</span></a>"
"
Rednecks
",Taylor  Brown, 4.21 avg rating — 151 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/8175172.Taylor_Brown"" itemprop=""url""><span itemprop=""name"">Taylor  Brown</span></a>"
"
The Innkeeper Chronicles: Clean Sweep The Graphic Novel (Volume 1)
",ChrossxXxRodes, 4.34 avg rating — 229 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/22721731.ChrossxXxRodes"" itemprop=""url""><span itemprop=""name"">ChrossxXxRodes</span></a>"
"
The Boy Who Cried Bear (Haven's Rock, #2)
",Kelley Armstrong," 4.19 avg rating — 3,081 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/7581.Kelley_Armstrong"" itemprop=""url""><span itemprop=""name"">Kelley Armstrong</span></a>"
"
The Ghost Orchid (Alex Delaware #39)
",Jonathan Kellerman," 4.25 avg rating — 8,242 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/43626.Jonathan_Kellerman"" itemprop=""url""><span itemprop=""name"">Jonathan Kellerman</span></a>"
"
The End and the Death: Volume III
",Dan Abnett, 4.49 avg rating — 973 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/33262.Dan_Abnett"" itemprop=""url""><span itemprop=""name"">Dan Abnett</span></a>"
"
The Backyard Bird Chronicles
",Amy Tan, 4.32 avg rating — 228 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/5246.Amy_Tan"" itemprop=""url""><span itemprop=""name"">Amy Tan</span></a>"
"
Piglet
",Lottie Hazell," 3.57 avg rating — 7,952 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/31134709.Lottie_Hazell"" itemprop=""url""><span itemprop=""name"">Lottie Hazell</span></a>"
"
Desiring Whiteness: A Racial History of Prostitution in France and Colonial Senegal, 1848-1950
",Caroline Séquin, 0.00 avg rating — 0 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/47291634.Caroline_S_quin"" itemprop=""url""><span itemprop=""name"">Caroline Séquin</span></a>"
"
The Book of Doors
",Gareth  Brown," 4.04 avg rating — 11,018 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/40006932.Gareth_Brown"" itemprop=""url""><span itemprop=""name"">Gareth  Brown</span></a>"
"
The Blue Period: Black Writing in the Early Cold War
",Jesse McCarthy,really liked it 4.00 avg rating — 1 rating,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/7520456.Jesse_McCarthy"" itemprop=""url""><span itemprop=""name"">Jesse McCarthy</span></a>"
"
The Hunter (Cal Hooper #2)
",Tana French," 4.20 avg rating — 16,637 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/138825.Tana_French"" itemprop=""url""><span itemprop=""name"">Tana French</span></a>"
"
MateHub: Legend (MateHub, #1)
",Marie Reynard," 4.37 avg rating — 1,072 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/39984357.Marie_Reynard"" itemprop=""url""><span itemprop=""name"">Marie Reynard</span></a>"
"
Bad Therapy: Why the Kids Aren't Growing Up
",Abigail Shrier," 4.15 avg rating — 2,456 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/19481203.Abigail_Shrier"" itemprop=""url""><span itemprop=""name"">Abigail Shrier</span></a>"
"
Family Family
",Laurie Frankel," 4.03 avg rating — 8,970 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/300536.Laurie_Frankel"" itemprop=""url""><span itemprop=""name"">Laurie Frankel</span></a>"
"
Conversations with Orhan Pamuk
",Erdağ M. Göknar,really liked it 4.00 avg rating — 1 rating,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/2864594.Erda_M_G_knar"" itemprop=""url""><span itemprop=""name"">Erdağ M. Göknar</span></a>"
"
The Borrowed Hills
",Scott  Preston, 4.14 avg rating — 84 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/937308.Scott_Preston"" itemprop=""url""><span itemprop=""name"">Scott  Preston</span></a>"
"
Jeg skal hente deg
",Gine Cornelia Pedersen, 3.83 avg rating — 18 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/7304574.Gine_Cornelia_Pedersen"" itemprop=""url""><span itemprop=""name"">Gine Cornelia Pedersen</span></a>"
"
Nightwatching
",Tracy  Sierra," 3.93 avg rating — 9,314 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/35976777.Tracy_Sierra"" itemprop=""url""><span itemprop=""name"">Tracy  Sierra</span></a>"
"
Worst Wingman Ever (The Improbable Meet-Cute, #2)
",Abby Jimenez," 4.01 avg rating — 60,298 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/18446724.Abby_Jimenez"" itemprop=""url""><span itemprop=""name"">Abby Jimenez</span></a>"
"
Red River Road
",Anna Downes, 4.14 avg rating — 114 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/19212025.Anna_Downes"" itemprop=""url""><span itemprop=""name"">Anna Downes</span></a>"
"
You're Not the Problem: The Impact of Narcissism and Emotional Abuse and How to Heal
",Helen Villiers, 4.59 avg rating — 64 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/39600952.Helen_Villiers"" itemprop=""url""><span itemprop=""name"">Helen Villiers</span></a>"
"
Boy of Chaotic Making (Whimbrel House, #3)
",Charlie N. Holmberg," 4.33 avg rating — 5,737 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/7801879.Charlie_N_Holmberg"" itemprop=""url""><span itemprop=""name"">Charlie N. Holmberg</span></a>"
"
Life Is Hard, God Is Good, Let's Dance: Experiencing Real Joy in a World Gone Mad
",Brant Hansen, 4.57 avg rating — 327 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/7360387.Brant_Hansen"" itemprop=""url""><span itemprop=""name"">Brant Hansen</span></a>"
"
Foul Days (The Witch's Compendium of Monsters, #1)
",Genoveva Dimova, 4.58 avg rating — 128 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/22873411.Genoveva_Dimova"" itemprop=""url""><span itemprop=""name"">Genoveva Dimova</span></a>"
"
The Black Tax: 150 Years of Theft, Exploitation, and Dispossession in America
",Andrew W. Kahrl, 0.00 avg rating — 0 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/5268886.Andrew_W_Kahrl"" itemprop=""url""><span itemprop=""name"">Andrew W. Kahrl</span></a>"
"
The Summer Escape: A Novel (The Sunrise Cove Series, 6)
",Jill Shalvis, 4.57 avg rating — 117 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/22370.Jill_Shalvis"" itemprop=""url""><span itemprop=""name"">Jill Shalvis</span></a>"
"
Off the Air
",Christina Estes, 3.15 avg rating — 956 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/21960610.Christina_Estes"" itemprop=""url""><span itemprop=""name"">Christina Estes</span></a>"
"
Demon Daughter (Penric & Desdemona, #12)
",Lois McMaster Bujold," 4.56 avg rating — 1,641 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/16094.Lois_McMaster_Bujold"" itemprop=""url""><span itemprop=""name"">Lois McMaster Bujold</span></a>"
"
The Hidden Life of Cecily Larson
",Ellen Baker," 3.90 avg rating — 3,711 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/267672.Ellen_Baker"" itemprop=""url""><span itemprop=""name"">Ellen Baker</span></a>"
"
If You Hate Me
",Helena Hunting," 3.85 avg rating — 9,229 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/7226675.Helena_Hunting"" itemprop=""url""><span itemprop=""name"">Helena Hunting</span></a>"
"
Reign (Rock God, #2)
",Cassandra Robbins," 4.38 avg rating — 1,191 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/17753407.Cassandra_Robbins"" itemprop=""url""><span itemprop=""name"">Cassandra Robbins</span></a>"
"
The Teller of Small Fortunes
",Julie Leong, 4.94 avg rating — 17 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/48340688.Julie_Leong"" itemprop=""url""><span itemprop=""name"">Julie Leong</span></a>"
"
Boss of Her
",Anna    Stone, 4.30 avg rating — 963 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/18091718.Anna_Stone"" itemprop=""url""><span itemprop=""name"">Anna    Stone</span></a>"
"
Beyond the World of Men: Women’s Fiction at the Czech Fin de Siècle
",Geoffrey Chew, 0.00 avg rating — 0 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/5256246.Geoffrey_Chew"" itemprop=""url""><span itemprop=""name"">Geoffrey Chew</span></a>"
"
Pay Dirt (V.I. Warshawski #22)
",Sara Paretsky, 4.32 avg rating — 460 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/28509.Sara_Paretsky"" itemprop=""url""><span itemprop=""name"">Sara Paretsky</span></a>"
"
The Bezzle (Martin Hench #2)
",Cory Doctorow, 4.19 avg rating — 849 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/12581.Cory_Doctorow"" itemprop=""url""><span itemprop=""name"">Cory Doctorow</span></a>"
"
Wandering Stars
",Tommy Orange," 3.97 avg rating — 7,343 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/17205711.Tommy_Orange"" itemprop=""url""><span itemprop=""name"">Tommy Orange</span></a>"
"
Not Like Other Girls
",Meredith Adamo, 4.34 avg rating — 351 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/39908715.Meredith_Adamo"" itemprop=""url""><span itemprop=""name"">Meredith Adamo</span></a>"
"
Listen for the Lie
",Amy Tintera," 4.18 avg rating — 53,996 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/5768611.Amy_Tintera"" itemprop=""url""><span itemprop=""name"">Amy Tintera</span></a>"
"
The Last Bloodcarver
",Vanessa Le, 4.10 avg rating — 988 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/22446706.Vanessa_Le"" itemprop=""url""><span itemprop=""name"">Vanessa Le</span></a>"
"
Insatiable City: Food and Race in New Orleans
",Theresa McCulla, 0.00 avg rating — 0 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/42716246.Theresa_McCulla"" itemprop=""url""><span itemprop=""name"">Theresa McCulla</span></a>"
"
Just One Summer (The Kingston Family, #9.5)
",Carly Phillips, 4.33 avg rating — 348 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/10000.Carly_Phillips"" itemprop=""url""><span itemprop=""name"">Carly Phillips</span></a>"
"
Drop, Cover, and Hold On (The Improbable Meet-Cute, #4)
",Jasmine Guillory," 2.98 avg rating — 33,266 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/16287225.Jasmine_Guillory"" itemprop=""url""><span itemprop=""name"">Jasmine Guillory</span></a>"
"
Burn Book: A Tech Love Story
",Kara Swisher," 4.07 avg rating — 4,486 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/118784.Kara_Swisher"" itemprop=""url""><span itemprop=""name"">Kara Swisher</span></a>"
"
Claim Me Forever
",A.L. Jackson," 4.30 avg rating — 4,131 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/5784542.A_L_Jackson"" itemprop=""url""><span itemprop=""name"">A.L. Jackson</span></a>"
"
Toxic Prey (Lucas Davenport, #34)
",John Sandford," 4.54 avg rating — 6,881 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/4610.John_Sandford"" itemprop=""url""><span itemprop=""name"">John Sandford</span></a>"
"
Road to Ruin (Magebike Courier, #1)
",Hana  Lee, 4.70 avg rating — 81 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/25068544.Hana_Lee"" itemprop=""url""><span itemprop=""name"">Hana  Lee</span></a>"
"
Viruses and Reproductive Injustice: Zika in Brazil
",Ilana Löwy, 0.00 avg rating — 0 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/17181.Ilana_L_wy"" itemprop=""url""><span itemprop=""name"">Ilana Löwy</span></a>"
"
Enticing Her Love (The Steeles at Silver Island Book 6)
",Melissa Foster, 4.33 avg rating — 9 ratings,"<a class=""authorName"" href=""https://www.goodreads.com/author/show/3023973.Melissa_Foster"" itemprop=""url""><span itemprop=""name"">Melissa Foster</span></a>"
"
Wild Love (Rose Hill, #1)
",Elsie Silver," 4.21 avg rating — 54,724 ratings","<a class=""authorName"" href=""https://www.goodreads.com/author/show/21312387.Elsie_Silver"" itemprop=""url""><span itemprop=""name"">Elsie Silver</span></a>"
